사업번호,사업명,문서_소관기관,소관기관_정규화,분야_정규화,부문_정규화,프로그램_정규화,회계기금_정규화,지원형태_정규화,예산2026_통합_백만원,예산2026_통합_억원,2026열1_라벨,2026열2_라벨,2026열1_백만원,2026열2_백만원,내역사업_건수,사업시행방법,사업시행주체
263,국토교통DNA플러스융합 기술대학원육성사업(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,6720.0,67.2,정부안,확정(B),6720.0,6720.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
264,국토이용정보체계 구축 및 운영(정보화),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통정보화,일반회계,직접,4680.0,46.8,정부안,확정(B),4680.0,4680.0,1,"직접수행, 위탁수행","국토교통부, 한국국토정보공사(LX)"
265,국토지형관리(정보화),국토교통부,국토교통부,국토 및 지역개발,지역 및 도시,국토지리정보원 운영,일반회계,직접,20037.0,200.37,정부안,확정(B),20037.0,20037.0,3,직접수행,국토교통부 국토지리정보원
266,대심도장대터널(GTX등)의재난 대응복합훈련장개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,교통시설 특별회계,출연,8318.0,83.18,정부안,확정(B),8318.0,8318.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
267,데이터기반철도시스템안전평가 ·예측기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,교통시설 특별회계,출연,5300.0,53.0,정부안,확정(B),5300.0,5300.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
268,디지털기반건축시공및 안전감리기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,6794.0,67.94,정부안,확정(B),6794.0,6794.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
269,디지털도로기반클라우드형AI -ITS센터플랫폼운영관리기술 개발사업(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,교통시설 특별회계,출연,1275.0,12.75,정부안,확정(B),1275.0,1275.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
270,디지털트윈국토정보 보안기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,2000.0,20.0,정부안,확정(B),2000.0,2000.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
271,디지털트윈기반GTX환승안전 및혁신기술개발사업(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,4000.0,40.0,정부안,확정(B),4000.0,4000.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
272,무안공항 차세대 전력망 구축,국토교통부,국토교통부,교통 및 물류,항공·공항,일반공항건설및관리,교통시설 특별회계,보조,3035.0,30.35,정부안,확정(B),3035.0,3035.0,1,보조,한국공항공사
